,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,39
2,Proteine (g):,26.7
3,Lipidi(g):,27.3
4,Colesterolo (mg):,86
5,Carboidrati disponibili (g):,1.7
6,Amido (g):,0
7,Zuccheri solubili (g):,1.7
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,359
13,Energia (kJ):,1502
14,Sodio (mg):,1693
15,Potassio (mg):,494
16,Ferro (mg):,1.6
17,Calcio (mg):,32
18,Fosforo (mg):,
19,Magnesio (mg):,32
20,Zinco (mg):,3.7
21,Rame (mg):,0.14
22,Selenio (µg):,3.1
23,Tiamina (mg):,0.16
24,Riboflavina (mg):,0.14
25,Niacina (mg):,
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
