,Composizione,mg/100g di parte edibile
0,Lisina:,2121
1,Istidina:,893
2,Arginina:,1478
3,Acido aspartico:,2281
4,Treonina:,1028
5,Serina:,958
6,Acido glutamico:,3633
7,Prolina:,1108
8,Glicina:,1335
9,Alanina:,1604
10,Cistina:,259
11,Valina:,1363
12,Metionina:,631
13,Isoleucina:,1185
14,Leucina:,2017
15,Tirosina:,837
16,Fenilalanina:,982
17,Triptofano:,230
18,Indice Chimico:,86
19,Aminoacido limitante:,Trip.
