,Composizione chimica,valore per 100g
0,Parte edibile (%):,91
1,Acqua (g):,90.7
2,Proteine (g):,0.8
3,Lipidi(g):,0.1
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,6.1
6,Amido (g):,0
7,Zuccheri solubili (g):,6.1
8,Fibra totale (g):,1.6
9,Fibra solubile (g):,0.87
10,Fibra insolubile (g):,0.71
11,Alcol (g):,0
12,Energia (kcal):,27
13,Energia (kJ):,113
14,Sodio (mg):,3
15,Potassio (mg):,260
16,Ferro (mg):,0.4
17,Calcio (mg):,8
18,Fosforo (mg):,20
19,Magnesio (mg):,9
20,Zinco (mg):,0.35
21,Rame (mg):,0.04
22,Selenio (µg):,
23,Tiamina (mg):,0.01
24,Riboflavina (mg):,0.03
25,Niacina (mg):,0.5
26,Vitamina A retinolo eq. (µg):,27
27,Vitamina C (mg):,4
28,Vitamina E (mg):,
