,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,30.4
2,Proteine (g):,33.5
3,Lipidi(g):,28.1
4,Colesterolo (mg):,91
5,Carboidrati disponibili (g):,tr
6,Amido (g):,0
7,Zuccheri solubili (g):,tr
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,387
13,Energia (kJ):,1619
14,Sodio (mg):,600
15,Potassio (mg):,102
16,Ferro (mg):,0.7
17,Calcio (mg):,1159
18,Fosforo (mg):,678
19,Magnesio (mg):,43
20,Zinco (mg):,4
21,Rame (mg):,0.83
22,Selenio (µg):,12
23,Tiamina (mg):,0.03
24,Riboflavina (mg):,0.37
25,Niacina (mg):,0.05
26,Vitamina A retinolo eq. (µg):,373
27,Vitamina C (mg):,0
28,Vitamina E (mg):,0.68
