,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,32
2,Proteine (g):,33
3,Lipidi(g):,28
4,Colesterolo (mg):,109
5,Carboidrati disponibili (g):,tr
6,Amido (g):,0
7,Zuccheri solubili (g):,tr
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,392
13,Energia (kJ):,1640
14,Sodio (mg):,700
15,Potassio (mg):,120
16,Ferro (mg):,0.1
17,Calcio (mg):,1165
18,Fosforo (mg):,692
19,Magnesio (mg):,63
20,Zinco (mg):,11
21,Rame (mg):,0.5
22,Selenio (µg):,12
23,Tiamina (mg):,0.02
24,Riboflavina (mg):,0.36
25,Niacina (mg):,0.1
26,Vitamina A retinolo eq. (µg):,224
27,Vitamina C (mg):,0
28,Vitamina E (mg):,0.21
