,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,51.8
2,Proteine (g):,16.4
3,Lipidi(g):,26.9
4,Colesterolo (mg):,
5,Carboidrati disponibili (g):,1.3
6,Amido (g):,1.2
7,Zuccheri solubili (g):,0
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,313
13,Energia (kJ):,1308
14,Sodio (mg):,930
15,Potassio (mg):,164
16,Ferro (mg):,1.4
17,Calcio (mg):,16
18,Fosforo (mg):,
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.14
24,Riboflavina (mg):,0.46
25,Niacina (mg):,4.05
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
