,Composizione chimica,valore per 100g
0,Parte edibile (%):,70
1,Acqua (g):,89.3
2,Proteine (g):,0.4
3,Lipidi(g):,0.1
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,6.9
6,Amido (g):,0
7,Zuccheri solubili (g):,6.9
8,Fibra totale (g):,2.3
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,28
13,Energia (kJ):,119
14,Sodio (mg):,7
15,Potassio (mg):,140
16,Ferro (mg):,0.5
17,Calcio (mg):,28
18,Fosforo (mg):,16
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.03
24,Riboflavina (mg):,0.03
25,Niacina (mg):,0.3
26,Vitamina A retinolo eq. (µg):,265
27,Vitamina C (mg):,60
28,Vitamina E (mg):,
