,Composizione,mg/100g di parte edibile
0,Lisina:,60
1,Istidina:,33
2,Arginina:,60
3,Acido aspartico:,125
4,Treonina:,62
5,Serina:,68
6,Acido glutamico:,258
7,Prolina:,50
8,Glicina:,78
9,Alanina:,78
10,Cistina:,20
11,Valina:,60
12,Metionina:,17
13,Isoleucina:,40
14,Leucina:,93
15,Tirosina:,50
16,Fenilalanina:,54
17,Triptofano:,21
18,Indice Chimico:,80
19,Aminoacido limitante:,Lis.
