,Composizione chimica,valore per 100g
0,Parte edibile (%):,55
1,Acqua (g):,73.4
2,Proteine (g):,15.8
3,Lipidi(g):,6.8
4,Colesterolo (mg):,53
5,Carboidrati disponibili (g):,0.7
6,Amido (g):,0
7,Zuccheri solubili (g):,0.7
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,127
13,Energia (kJ):,531
14,Sodio (mg):,
15,Potassio (mg):,
16,Ferro (mg):,1.8
17,Calcio (mg):,26
18,Fosforo (mg):,220
19,Magnesio (mg):,21
20,Zinco (mg):,2
21,Rame (mg):,1
22,Selenio (µg):,
23,Tiamina (mg):,0.06
24,Riboflavina (mg):,0.1
25,Niacina (mg):,7.3
26,Vitamina A retinolo eq. (µg):,17
27,Vitamina C (mg):,tr
28,Vitamina E (mg):,
