,Composizione chimica,valore per 100g
0,Parte edibile (%):,97
1,Acqua (g):,92.3
2,Proteine (g):,1.8
3,Lipidi(g):,0.2
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,2.2
6,Amido (g):,0
7,Zuccheri solubili (g):,2.2
8,Fibra totale (g):,2.3
9,Fibra solubile (g):,0.38
10,Fibra insolubile (g):,1.85
11,Alcol (g):,0
12,Energia (kcal):,17
13,Energia (kJ):,71
14,Sodio (mg):,
15,Potassio (mg):,
16,Ferro (mg):,1.2
17,Calcio (mg):,131
18,Fosforo (mg):,34
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.03
24,Riboflavina (mg):,0.19
25,Niacina (mg):,0.8
26,Vitamina A retinolo eq. (µg):,392
27,Vitamina C (mg):,24
28,Vitamina E (mg):,
