,Composizione,mg/100g di parte edibile
0,Lisina:,2694
1,Istidina:,1099
2,Arginina:,1957
3,Acido aspartico:,3138
4,Treonina:,1356
5,Serina:,1323
6,Acido glutamico:,4572
7,Prolina:,1081
8,Glicina:,1265
9,Alanina:,1809
10,Cistina:,365
11,Valina:,1770
12,Metionina:,891
13,Isoleucina:,1540
14,Leucina:,2537
15,Tirosina:,1042
16,Fenilalanina:,1193
17,Triptofano:,359
18,Indice Chimico:,100
19,Aminoacido limitante:,Trip.
