,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,1.3
2,Proteine (g):,8.2
3,Lipidi(g):,26.6
4,Colesterolo (mg):,
5,Carboidrati disponibili (g):,60.3
6,Amido (g):,12.3
7,Zuccheri solubili (g):,46.8
8,Fibra totale (g):,
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,498
13,Energia (kJ):,2085
14,Sodio (mg):,110
15,Potassio (mg):,330
16,Ferro (mg):,1.5
17,Calcio (mg):,200
18,Fosforo (mg):,190
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.11
24,Riboflavina (mg):,0.44
25,Niacina (mg):,0.5
26,Vitamina A retinolo eq. (µg):,47
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
