,Composizione,mg/100g di parte edibile
0,Lisina:,166
1,Istidina:,160
2,Arginina:,260
3,Acido aspartico:,332
4,Treonina:,224
5,Serina:,417
6,Acido glutamico:,3230
7,Prolina:,1045
8,Glicina:,297
9,Alanina:,257
10,Cistina:,226
11,Valina:,375
12,Metionina:,119
13,Isoleucina:,337
14,Leucina:,621
15,Tirosina:,170
16,Fenilalanina:,418
17,Triptofano:,62
18,Indice Chimico:,33
19,Aminoacido limitante:,Lis.
