,Composizione,mg/100g di parte edibile
0,Lisina:,1723
1,Istidina:,493
2,Arginina:,1072
3,Acido aspartico:,1358
4,Treonina:,637
5,Serina:,581
6,Acido glutamico:,1924
7,Prolina:,760
8,Glicina:,597
9,Alanina:,786
10,Cistina:,135
11,Valina:,754
12,Metionina:,446
13,Isoleucina:,666
14,Leucina:,1165
15,Tirosina:,503
16,Fenilalanina:,602
17,Triptofano:,207
18,Indice Chimico:,100
19,Aminoacido limitante:,Fenil.
