,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,36
2,Proteine (g):,24.2
3,Lipidi(g):,34
4,Colesterolo (mg):,94
5,Carboidrati disponibili (g):,0.7
6,Amido (g):,0
7,Zuccheri solubili (g):,0.7
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,405
13,Energia (kJ):,1696
14,Sodio (mg):,1504
15,Potassio (mg):,420
16,Ferro (mg):,1.4
17,Calcio (mg):,45
18,Fosforo (mg):,
19,Magnesio (mg):,27
20,Zinco (mg):,3.3
21,Rame (mg):,0.13
22,Selenio (µg):,3.1
23,Tiamina (mg):,0.17
24,Riboflavina (mg):,0.25
25,Niacina (mg):,
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
