,Composizione,mg/100g di parte edibile
0,Lisina:,1944
1,Istidina:,833
2,Arginina:,1338
3,Acido aspartico:,2101
4,Treonina:,885
5,Serina:,857
6,Acido glutamico:,3581
7,Prolina:,913
8,Glicina:,1134
9,Alanina:,1334
10,Cistina:,226
11,Valina:,1012
12,Metionina:,623
13,Isoleucina:,932
14,Leucina:,1809
15,Tirosina:,730
16,Fenilalanina:,866
17,Triptofano:,234
18,Indice Chimico:,99
19,Aminoacido limitante:,Trip.
