,Composizione chimica,valore per 100g
0,Parte edibile (%):,65
1,Acqua (g):,80
2,Proteine (g):,12.6
3,Lipidi(g):,1.7
4,Colesterolo (mg):,64
5,Carboidrati disponibili (g):,0.6
6,Amido (g):,0
7,Zuccheri solubili (g):,0.6
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,68
13,Energia (kJ):,284
14,Sodio (mg):,185
15,Potassio (mg):,145
16,Ferro (mg):,0.2
17,Calcio (mg):,144
18,Fosforo (mg):,189
19,Magnesio (mg):,22
20,Zinco (mg):,3.1
21,Rame (mg):,1.2
22,Selenio (µg):,
23,Tiamina (mg):,0.07
24,Riboflavina (mg):,0.16
25,Niacina (mg):,1.2
26,Vitamina A retinolo eq. (µg):,75
27,Vitamina C (mg):,tr
28,Vitamina E (mg):,
