,Composizione,mg/100g di parte edibile
0,Lisina:,164
1,Istidina:,173
2,Arginina:,277
3,Acido aspartico:,356
4,Treonina:,222
5,Serina:,418
6,Acido glutamico:,2524
7,Prolina:,910
8,Glicina:,285
9,Alanina:,258
10,Cistina:,190
11,Valina:,410
12,Metionina:,127
13,Isoleucina:,330
14,Leucina:,595
15,Tirosina:,217
16,Fenilalanina:,417
17,Triptofano:,74
18,Indice Chimico:,36
19,Aminoacido limitante:,Lis.
