,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,35.5
2,Proteine (g):,26.7
3,Lipidi(g):,31.1
4,Colesterolo (mg):,90
5,Carboidrati disponibili (g):,1.5
6,Amido (g):,0
7,Zuccheri solubili (g):,1.5
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,392
13,Energia (kJ):,1641
14,Sodio (mg):,1497
15,Potassio (mg):,452
16,Ferro (mg):,1.5
17,Calcio (mg):,32
18,Fosforo (mg):,356
19,Magnesio (mg):,25
20,Zinco (mg):,3.5
21,Rame (mg):,0.13
22,Selenio (µg):,3.1
23,Tiamina (mg):,0.24
24,Riboflavina (mg):,0.21
25,Niacina (mg):,2.5
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
