,Composizione,mg/100g di parte edibile
0,Lisina:,260
1,Istidina:,90
2,Arginina:,110
3,Acido aspartico:,260
4,Treonina:,140
5,Serina:,180
6,Acido glutamico:,640
7,Prolina:,300
8,Glicina:,70
9,Alanina:,110
10,Cistina:,30
11,Valina:,210
12,Metionina:,90
13,Isoleucina:,160
14,Leucina:,300
15,Tirosina:,190
16,Fenilalanina:,170
17,Triptofano:,40
18,Indice Chimico:,96
19,Aminoacido limitante:,Trip.
