,Composizione,mg/100g di parte edibile
0,Lisina:,1750
1,Istidina:,820
2,Arginina:,1160
3,Acido aspartico:,1920
4,Treonina:,830
5,Serina:,750
6,Acido glutamico:,2780
7,Prolina:,770
8,Glicina:,1030
9,Alanina:,1100
10,Cistina:,190
11,Valina:,960
12,Metionina:,560
13,Isoleucina:,920
14,Leucina:,1460
15,Tirosina:,650
16,Fenilalanina:,790
17,Triptofano:,140
18,Indice Chimico:,66
19,Aminoacido limitante:,Trip.
