,Composizione,mg/100g di parte edibile
0,Lisina:,2416
1,Istidina:,1068
2,Arginina:,1701
3,Acido aspartico:,2736
4,Treonina:,1283
5,Serina:,1122
6,Acido glutamico:,4312
7,Prolina:,1297
8,Glicina:,1455
9,Alanina:,1662
10,Cistina:,294
11,Valina:,1585
12,Metionina:,777
13,Isoleucina:,1385
14,Leucina:,2326
15,Tirosina:,1048
16,Fenilalanina:,1156
17,Triptofano:,314
18,Indice Chimico:,100
19,Aminoacido limitante:,Trip.
