,Composizione,g/100g di parte edibile
0,Saturi totali (%):,7.36
1,C4:0÷C10:0,0
2,C12:0,0.66
3,C14:0,1.46
4,C16:0,2.85
5,C18:0,0.78
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,2.5
9,C14:1,0.04
10,C16:1,0.16
11,C18:1,2.19
12,C20:1,0
13,C22:1,0
14,Polinsaturi totali (%):,0.68
15,C18:2,0.32
16,C18:3,0.35
17,C20:4,0
18,C20:5,0
19,C22:6,0
20,Rapporto Polinsaturi/Saturi:,0.1
