,Composizione,mg/100g di parte edibile
0,Lisina:,2317
1,Istidina:,970
2,Arginina:,1693
3,Acido aspartico:,2677
4,Treonina:,1218
5,Serina:,1083
6,Acido glutamico:,4250
7,Prolina:,1124
8,Glicina:,1255
9,Alanina:,1847
10,Cistina:,312
11,Valina:,1416
12,Metionina:,675
13,Isoleucina:,1392
14,Leucina:,2234
15,Tirosina:,882
16,Fenilalanina:,1081
17,Triptofano:,282
18,Indice Chimico:,95
19,Aminoacido limitante:,Trip.
