,Composizione,g/100g di parte edibile
0,Saturi totali (%):,3.04
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.12
4,C16:0,1.88
5,C18:0,1.01
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,2.91
9,C14:1,0.02
10,C16:1,0.4
11,C18:1,2.4
12,C20:1,0.06
13,C22:1,0
14,Polinsaturi totali (%):,2.66
15,C18:2,1.31
16,C18:3,0.07
17,C20:4,0.62
18,C20:5,0.05
19,C22:6,0.16
20,Rapporto Polinsaturi/Saturi:,0.9
