,Composizione,mg/100g di parte edibile
0,Lisina:,49
1,Istidina:,90
2,Arginina:,90
3,Acido aspartico:,126
4,Treonina:,41
5,Serina:,47
6,Acido glutamico:,110
7,Prolina:,49
8,Glicina:,50
9,Alanina:,53
10,Cistina:,32
11,Valina:,48
12,Metionina:,24
13,Isoleucina:,35
14,Leucina:,56
15,Tirosina:,163
16,Fenilalanina:,47
17,Triptofano:,14
18,Indice Chimico:,70
19,Aminoacido limitante:,Lis.
