,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,1.5
2,Proteine (g):,5.4
3,Lipidi(g):,17.5
4,Colesterolo (mg):,
5,Carboidrati disponibili (g):,73.9
6,Amido (g):,2.8
7,Zuccheri solubili (g):,70.8
8,Fibra totale (g):,tr
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,456
13,Energia (kJ):,1909
14,Sodio (mg):,58
15,Potassio (mg):,270
16,Ferro (mg):,1.5
17,Calcio (mg):,150
18,Fosforo (mg):,160
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.08
24,Riboflavina (mg):,0.79
25,Niacina (mg):,0.3
26,Vitamina A retinolo eq. (µg):,28
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
