,Composizione,g/100g di parte edibile
0,Saturi totali (%):,3.33
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,1.03
4,C16:0,2.11
5,C18:0,0.19
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,8.63
9,C14:1,0
10,C16:1,1.55
11,C18:1,2.35
12,C20:1,2.04
13,C22:1,2.69
14,Polinsaturi totali (%):,2.61
15,C18:2,0.22
16,C18:3,0.19
17,C20:4,0.1
18,C20:5,1.09
19,C22:6,1.01
20,Rapporto Polinsaturi/Saturi:,0.8
