,Composizione,g/100g di parte edibile
0,Saturi totali (%):,9.88
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.44
4,C16:0,5.78
5,C18:0,3.4
6,C20:0,0.07
7,C22:0,0
8,Monoinsaturi totali (%):,13.24
9,C14:1,0
10,C16:1,0.89
11,C18:1,12.35
12,C20:1,0
13,C22:1,0
14,Polinsaturi totali (%):,5.57
15,C18:2,4.27
16,C18:3,0.78
17,C20:4,0.44
18,C20:5,0.07
19,C22:6,0
20,Rapporto Polinsaturi/Saturi:,0.6
