,Composizione,g/100g di parte edibile
0,Saturi totali (%):,1.11
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.19
4,C16:0,0.76
5,C18:0,0.16
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,1.72
9,C14:1,0
10,C16:1,0.24
11,C18:1,0.92
12,C20:1,0.34
13,C22:1,0.22
14,Polinsaturi totali (%):,1.15
15,C18:2,0.02
16,C18:3,0.03
17,C20:4,0.02
18,C20:5,0.33
19,C22:6,0.45
20,Rapporto Polinsaturi/Saturi:,1
