,Composizione,g/100g di parte edibile
0,Saturi totali (%):,12.19
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.49
4,C16:0,7.55
5,C18:0,4.07
6,C20:0,tr
7,C22:0,0
8,Monoinsaturi totali (%):,15.84
9,C14:1,0
10,C16:1,0.89
11,C18:1,14.53
12,C20:1,0.32
13,C22:1,0
14,Polinsaturi totali (%):,4.47
15,C18:2,3.91
16,C18:3,0.23
17,C20:4,0.14
18,C20:5,0
19,C22:6,0
20,Rapporto Polinsaturi/Saturi:,0.4
