,Composizione,g/100g di parte edibile
0,Saturi totali (%):,tr
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0
4,C16:0,tr
5,C18:0,tr
6,C20:0,tr
7,C22:0,0
8,Monoinsaturi totali (%):,tr
9,C14:1,0
10,C16:1,tr
11,C18:1,tr
12,C20:1,0
13,C22:1,0
14,Polinsaturi totali (%):,tr
15,C18:2,tr
16,C18:3,tr
17,C20:4,0
18,C20:5,0
19,C22:6,0
20,Rapporto Polinsaturi/Saturi:,1
