,Composizione,mg/100g di parte edibile
0,Lisina:,2460
1,Istidina:,920
2,Arginina:,810
3,Acido aspartico:,2260
4,Treonina:,1100
5,Serina:,1860
6,Acido glutamico:,6030
7,Prolina:,3560
8,Glicina:,700
9,Alanina:,940
10,Cistina:,200
11,Valina:,1360
12,Metionina:,1030
13,Isoleucina:,1280
14,Leucina:,2880
15,Tirosina:,1750
16,Fenilalanina:,1610
17,Triptofano:,320
18,Indice Chimico:,87
19,Aminoacido limitante:,Trip.
