,Composizione,mg/100g di parte edibile
0,Lisina:,880
1,Istidina:,298
2,Arginina:,767
3,Acido aspartico:,1209
4,Treonina:,623
5,Serina:,842
6,Acido glutamico:,1508
7,Prolina:,496
8,Glicina:,416
9,Alanina:,719
10,Cistina:,323
11,Valina:,823
12,Metionina:,437
13,Isoleucina:,657
14,Leucina:,1041
15,Tirosina:,503
16,Fenilalanina:,662
17,Triptofano:,197
18,Indice Chimico:,100
19,Aminoacido limitante:,Lis.
