,Composizione,mg/100g di parte edibile
0,Lisina:,1947
1,Istidina:,826
2,Arginina:,1284
3,Acido aspartico:,2076
4,Treonina:,873
5,Serina:,875
6,Acido glutamico:,3649
7,Prolina:,880
8,Glicina:,1064
9,Alanina:,1316
10,Cistina:,233
11,Valina:,1034
12,Metionina:,614
13,Isoleucina:,924
14,Leucina:,1840
15,Tirosina:,758
16,Fenilalanina:,873
17,Triptofano:,240
18,Indice Chimico:,99
19,Aminoacido limitante:,Trip.
