,Composizione chimica,valore per 100g
0,Parte edibile (%):,77
1,Acqua (g):,96.5
2,Proteine (g):,0.7
3,Lipidi(g):,0.5
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,1.8
6,Amido (g):,0
7,Zuccheri solubili (g):,1.8
8,Fibra totale (g):,0.8
9,Fibra solubile (g):,0.21
10,Fibra insolubile (g):,0.54
11,Alcol (g):,0
12,Energia (kcal):,14
13,Energia (kJ):,59
14,Sodio (mg):,13
15,Potassio (mg):,140
16,Ferro (mg):,0.3
17,Calcio (mg):,16
18,Fosforo (mg):,17
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.02
24,Riboflavina (mg):,0.03
25,Niacina (mg):,0.6
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,11
28,Vitamina E (mg):,
