,Composizione,mg/100g di parte edibile
0,Lisina:,1608
1,Istidina:,649
2,Arginina:,1180
3,Acido aspartico:,1953
4,Treonina:,810
5,Serina:,770
6,Acido glutamico:,2810
7,Prolina:,791
8,Glicina:,961
9,Alanina:,1129
10,Cistina:,216
11,Valina:,1110
12,Metionina:,499
13,Isoleucina:,1000
14,Leucina:,1559
15,Tirosina:,638
16,Fenilalanina:,711
17,Triptofano:,183
18,Indice Chimico:,87
19,Aminoacido limitante:,Trip.
