,Composizione,g/100g di parte edibile
0,Saturi totali (%):,10.98
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.46
4,C16:0,6.57
5,C18:0,3.95
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,15.1
9,C14:1,0
10,C16:1,0.9
11,C18:1,13.78
12,C20:1,0.42
13,C22:1,0
14,Polinsaturi totali (%):,4.69
15,C18:2,4.05
16,C18:3,0.29
17,C20:4,0.35
18,C20:5,tr
19,C22:6,tr
20,Rapporto Polinsaturi/Saturi:,0.4
