,Composizione,mg/100g di parte edibile
0,Lisina:,1575
1,Istidina:,490
2,Arginina:,1159
3,Acido aspartico:,1847
4,Treonina:,811
5,Serina:,697
6,Acido glutamico:,3105
7,Prolina:,823
8,Glicina:,973
9,Alanina:,868
10,Cistina:,226
11,Valina:,846
12,Metionina:,502
13,Isoleucina:,874
14,Leucina:,1518
15,Tirosina:,627
16,Fenilalanina:,695
17,Triptofano:,200
18,Indice Chimico:,95
19,Aminoacido limitante:,Trip.
