,Composizione,g/100g di parte edibile
0,Saturi totali (%):,2.61
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.5
4,C16:0,1.76
5,C18:0,0.35
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,4.13
9,C14:1,0
10,C16:1,0.59
11,C18:1,1.84
12,C20:1,0.71
13,C22:1,0.99
14,Polinsaturi totali (%):,2.46
15,C18:2,0.16
16,C18:3,0.15
17,C20:4,0.16
18,C20:5,0.73
19,C22:6,1.26
20,Rapporto Polinsaturi/Saturi:,0.9
