,Composizione,g/100g di parte edibile
0,Saturi totali (%):,3.17
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.03
4,C16:0,1.9
5,C18:0,1.21
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,2.58
9,C14:1,0
10,C16:1,0.23
11,C18:1,2.35
12,C20:1,0
13,C22:1,0
14,Polinsaturi totali (%):,1.26
15,C18:2,1.06
16,C18:3,0.04
17,C20:4,0.16
18,C20:5,0
19,C22:6,0
20,Rapporto Polinsaturi/Saturi:,0.4
