,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,58.9
2,Proteine (g):,13.7
3,Lipidi(g):,23.3
4,Colesterolo (mg):,62
5,Carboidrati disponibili (g):,1.4
6,Amido (g):,1.3
7,Zuccheri solubili (g):,0
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,270
13,Energia (kJ):,1129
14,Sodio (mg):,793
15,Potassio (mg):,140
16,Ferro (mg):,1.2
17,Calcio (mg):,14
18,Fosforo (mg):,130
19,Magnesio (mg):,11
20,Zinco (mg):,1.6
21,Rame (mg):,0.08
22,Selenio (µg):,
23,Tiamina (mg):,0.15
24,Riboflavina (mg):,0.3
25,Niacina (mg):,2.72
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
