,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,8.2
2,Proteine (g):,14.1
3,Lipidi(g):,5.5
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,26.6
6,Amido (g):,20.7
7,Zuccheri solubili (g):,3.8
8,Fibra totale (g):,42.4
9,Fibra solubile (g):,1.31
10,Fibra insolubile (g):,41.13
11,Alcol (g):,0
12,Energia (kcal):,206
13,Energia (kJ):,860
14,Sodio (mg):,28
15,Potassio (mg):,1160
16,Ferro (mg):,12.9
17,Calcio (mg):,110
18,Fosforo (mg):,1200
19,Magnesio (mg):,550
20,Zinco (mg):,0.99
21,Rame (mg):,1.23
22,Selenio (µg):,4.3
23,Tiamina (mg):,0.89
24,Riboflavina (mg):,0.36
25,Niacina (mg):,29.6
26,Vitamina A retinolo eq. (µg):,1
27,Vitamina C (mg):,0
28,Vitamina E (mg):,1.6
