,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,0.8
2,Proteine (g):,7.3
3,Lipidi(g):,36.3
4,Colesterolo (mg):,10
5,Carboidrati disponibili (g):,50.5
6,Amido (g):,tr
7,Zuccheri solubili (g):,50.5
8,Fibra totale (g):,3.2
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,545
13,Energia (kJ):,2281
14,Sodio (mg):,120
15,Potassio (mg):,420
16,Ferro (mg):,3
17,Calcio (mg):,262
18,Fosforo (mg):,207
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.09
24,Riboflavina (mg):,0.39
25,Niacina (mg):,0.6
26,Vitamina A retinolo eq. (µg):,25
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
