,Composizione,mg/100g di parte edibile
0,Lisina:,1877
1,Istidina:,817
2,Arginina:,1335
3,Acido aspartico:,2133
4,Treonina:,941
5,Serina:,902
6,Acido glutamico:,3257
7,Prolina:,849
8,Glicina:,1022
9,Alanina:,1252
10,Cistina:,292
11,Valina:,1218
12,Metionina:,591
13,Isoleucina:,1139
14,Leucina:,1741
15,Tirosina:,685
16,Fenilalanina:,834
17,Triptofano:,217
18,Indice Chimico:,93
19,Aminoacido limitante:,Trip.
