,Composizione,mg/100g di parte edibile
0,Lisina:,261
1,Istidina:,268
2,Arginina:,430
3,Acido aspartico:,599
4,Treonina:,342
5,Serina:,475
6,Acido glutamico:,1820
7,Prolina:,880
8,Glicina:,347
9,Alanina:,720
10,Cistina:,204
11,Valina:,482
12,Metionina:,194
13,Isoleucina:,357
14,Leucina:,1168
15,Tirosina:,351
16,Fenilalanina:,481
17,Triptofano:,63
18,Indice Chimico:,49
19,Aminoacido limitante:,Lis.
