,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,36.9
2,Proteine (g):,23.6
3,Lipidi(g):,33.5
4,Colesterolo (mg):,96
5,Carboidrati disponibili (g):,0.6
6,Amido (g):,0
7,Zuccheri solubili (g):,0.6
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,398
13,Energia (kJ):,1666
14,Sodio (mg):,1524
15,Potassio (mg):,433
16,Ferro (mg):,1.9
17,Calcio (mg):,11
18,Fosforo (mg):,
19,Magnesio (mg):,23
20,Zinco (mg):,3.5
21,Rame (mg):,0.16
22,Selenio (µg):,
23,Tiamina (mg):,0.14
24,Riboflavina (mg):,0.29
25,Niacina (mg):,4.84
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
