,Composizione,mg/100g di parte edibile
0,Lisina:,1547
1,Istidina:,498
2,Arginina:,1206
3,Acido aspartico:,1716
4,Treonina:,839
5,Serina:,788
6,Acido glutamico:,2546
7,Prolina:,731
8,Glicina:,907
9,Alanina:,1075
10,Cistina:,204
11,Valina:,893
12,Metionina:,517
13,Isoleucina:,870
14,Leucina:,1375
15,Tirosina:,567
16,Fenilalanina:,682
17,Triptofano:,200
18,Indice Chimico:,100
19,Aminoacido limitante:,Trip.
