,Composizione,mg/100g di parte edibile
0,Lisina:,15
1,Istidina:,25
2,Arginina:,51
3,Acido aspartico:,84
4,Treonina:,19
5,Serina:,33
6,Acido glutamico:,143
7,Prolina:,23
8,Glicina:,21
9,Alanina:,29
10,Cistina:,11
11,Valina:,19
12,Metionina:,23
13,Isoleucina:,6
14,Leucina:,14
15,Tirosina:,12
16,Fenilalanina:,14
17,Triptofano:,3
18,Indice Chimico:,42
19,Aminoacido limitante:,Leu.
