,Composizione chimica,valore per 100g
0,Parte edibile (%):,39
1,Acqua (g):,3.5
2,Proteine (g):,14.3
3,Lipidi(g):,68.1
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,5.1
6,Amido (g):,1.8
7,Zuccheri solubili (g):,3.1
8,Fibra totale (g):,6.2
9,Fibra solubile (g):,0.84
10,Fibra insolubile (g):,5.37
11,Alcol (g):,0
12,Energia (kcal):,689
13,Energia (kJ):,2884
14,Sodio (mg):,2
15,Potassio (mg):,368
16,Ferro (mg):,2.1
17,Calcio (mg):,83
18,Fosforo (mg):,380
19,Magnesio (mg):,131
20,Zinco (mg):,2.7
21,Rame (mg):,1.5
22,Selenio (µg):,3.1
23,Tiamina (mg):,0.45
24,Riboflavina (mg):,0.1
25,Niacina (mg):,1.9
26,Vitamina A retinolo eq. (µg):,8
27,Vitamina C (mg):,tr
28,Vitamina E (mg):,3
