,Composizione,g/100g di parte edibile
0,Saturi totali (%):,5.46
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.22
4,C16:0,3.45
5,C18:0,1.74
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,6.45
9,C14:1,0.03
10,C16:1,0.99
11,C18:1,5.31
12,C20:1,0
13,C22:1,0
14,Polinsaturi totali (%):,3.84
15,C18:2,2.63
16,C18:3,0.2
17,C20:4,0.48
18,C20:5,0.03
19,C22:6,0.12
20,Rapporto Polinsaturi/Saturi:,0.7
