,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,37.3
2,Proteine (g):,27.3
3,Lipidi(g):,28.5
4,Colesterolo (mg):,94
5,Carboidrati disponibili (g):,1.1
6,Amido (g):,0
7,Zuccheri solubili (g):,1.1
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,370
13,Energia (kJ):,1547
14,Sodio (mg):,1633
15,Potassio (mg):,490
16,Ferro (mg):,1.7
17,Calcio (mg):,42
18,Fosforo (mg):,
19,Magnesio (mg):,34
20,Zinco (mg):,4.1
21,Rame (mg):,0.27
22,Selenio (µg):,3.1
23,Tiamina (mg):,0.18
24,Riboflavina (mg):,0.26
25,Niacina (mg):,
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
