,Composizione,mg/100g di parte edibile
0,Lisina:,1250
1,Istidina:,394
2,Arginina:,1103
3,Acido aspartico:,1524
4,Treonina:,826
5,Serina:,1170
6,Acido glutamico:,1885
7,Prolina:,685
8,Glicina:,490
9,Alanina:,878
10,Cistina:,328
11,Valina:,993
12,Metionina:,422
13,Isoleucina:,842
14,Leucina:,1347
15,Tirosina:,663
16,Fenilalanina:,707
17,Triptofano:,237
18,Indice Chimico:,100
19,Aminoacido limitante:,Ist.
