,Composizione chimica,valore per 100g
0,Parte edibile (%):,66
1,Acqua (g):,90.5
2,Proteine (g):,3.2
3,Lipidi(g):,0.2
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,2.7
6,Amido (g):,0.3
7,Zuccheri solubili (g):,2.4
8,Fibra totale (g):,2.4
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,25
13,Energia (kJ):,105
14,Sodio (mg):,8
15,Potassio (mg):,350
16,Ferro (mg):,0.8
17,Calcio (mg):,44
18,Fosforo (mg):,69
19,Magnesio (mg):,28
20,Zinco (mg):,0.7
21,Rame (mg):,0.13
22,Selenio (µg):,tr
23,Tiamina (mg):,0.1
24,Riboflavina (mg):,0.1
25,Niacina (mg):,1.2
26,Vitamina A retinolo eq. (µg):,50
27,Vitamina C (mg):,59
28,Vitamina E (mg):,
