,Composizione,mg/100g di parte edibile
0,Lisina:,754
1,Istidina:,642
2,Arginina:,6229
3,Acido aspartico:,2820
4,Treonina:,804
5,Serina:,1726
6,Acido glutamico:,6740
7,Prolina:,1716
8,Glicina:,1502
9,Alanina:,1469
10,Cistina:,942
11,Valina:,1594
12,Metionina:,731
13,Isoleucina:,991
14,Leucina:,2121
15,Tirosina:,1242
16,Fenilalanina:,1044
17,Triptofano:,300
18,Indice Chimico:,39
19,Aminoacido limitante:,Lis.
