,Composizione,mg/100g di parte edibile
0,Lisina:,152
1,Istidina:,159
2,Arginina:,264
3,Acido aspartico:,386
4,Treonina:,219
5,Serina:,384
6,Acido glutamico:,2179
7,Prolina:,788
8,Glicina:,270
9,Alanina:,230
10,Cistina:,174
11,Valina:,356
12,Metionina:,113
13,Isoleucina:,303
14,Leucina:,520
15,Tirosina:,209
16,Fenilalanina:,349
17,Triptofano:,69
18,Indice Chimico:,37
19,Aminoacido limitante:,Lis.
