,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,12.5
2,Proteine (g):,9.2
3,Lipidi(g):,3.8
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,75.1
6,Amido (g):,66
7,Zuccheri solubili (g):,2.5
8,Fibra totale (g):,2
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,353
13,Energia (kJ):,1475
14,Sodio (mg):,35
15,Potassio (mg):,287
16,Ferro (mg):,2.4
17,Calcio (mg):,15
18,Fosforo (mg):,256
19,Magnesio (mg):,120
20,Zinco (mg):,2.21
21,Rame (mg):,0.31
22,Selenio (µg):,15.5
23,Tiamina (mg):,0.36
24,Riboflavina (mg):,0.2
25,Niacina (mg):,1.5
26,Vitamina A retinolo eq. (µg):,62
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
