,Composizione,mg/100g di parte edibile
0,Lisina:,210
1,Istidina:,74
2,Arginina:,182
3,Acido aspartico:,504
4,Treonina:,131
5,Serina:,149
6,Acido glutamico:,968
7,Prolina:,265
8,Glicina:,158
9,Alanina:,265
10,Cistina:,42
11,Valina:,173
12,Metionina:,61
13,Isoleucina:,120
14,Leucina:,210
15,Tirosina:,96
16,Fenilalanina:,120
17,Triptofano:,55
18,Indice Chimico:,69
19,Aminoacido limitante:,Leu.
