,Composizione,mg/100g di parte edibile
0,Lisina:,175
1,Istidina:,81
2,Arginina:,154
3,Acido aspartico:,556
4,Treonina:,109
5,Serina:,123
6,Acido glutamico:,521
7,Prolina:,98
8,Glicina:,136
9,Alanina:,133
10,Cistina:,73
11,Valina:,144
12,Metionina:,35
13,Isoleucina:,108
14,Leucina:,171
15,Tirosina:,93
16,Fenilalanina:,126
17,Triptofano:,26
18,Indice Chimico:,83
19,Aminoacido limitante:,Trip.
