,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,35.2
2,Proteine (g):,30.5
3,Lipidi(g):,27.9
4,Colesterolo (mg):,95
5,Carboidrati disponibili (g):,0.5
6,Amido (g):,0
7,Zuccheri solubili (g):,0.5
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,375
13,Energia (kJ):,1569
14,Sodio (mg):,1697
15,Potassio (mg):,486
16,Ferro (mg):,1.9
17,Calcio (mg):,14
18,Fosforo (mg):,
19,Magnesio (mg):,31
20,Zinco (mg):,4.3
21,Rame (mg):,0.21
22,Selenio (µg):,3.1
23,Tiamina (mg):,0.34
24,Riboflavina (mg):,0.26
25,Niacina (mg):,
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
