,Composizione,mg/100g di parte edibile
0,Lisina:,115
1,Istidina:,49
2,Arginina:,88
3,Acido aspartico:,249
4,Treonina:,81
5,Serina:,111
6,Acido glutamico:,222
7,Prolina:,79
8,Glicina:,79
9,Alanina:,91
10,Cistina:,18
11,Valina:,175
12,Metionina:,27
13,Isoleucina:,78
14,Leucina:,143
15,Tirosina:,69
16,Fenilalanina:,88
17,Triptofano:,29
18,Indice Chimico:,86
19,Aminoacido limitante:,Solf.
