,Composizione,g/100g di parte edibile
0,Saturi totali (%):,2.8
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.11
4,C16:0,1.48
5,C18:0,1.17
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,2.67
9,C14:1,0.12
10,C16:1,0.33
11,C18:1,2.14
12,C20:1,0.04
13,C22:1,0
14,Polinsaturi totali (%):,2.71
15,C18:2,1.66
16,C18:3,0.1
17,C20:4,0.52
18,C20:5,0.04
19,C22:6,0.16
20,Rapporto Polinsaturi/Saturi:,1
