,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,4.3
2,Proteine (g):,12
3,Lipidi(g):,4.2
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,77.9
6,Amido (g):,
7,Zuccheri solubili (g):,
8,Fibra totale (g):,15.1
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,378
13,Energia (kJ):,1581
14,Sodio (mg):,4
15,Potassio (mg):,301
16,Ferro (mg):,2.7
17,Calcio (mg):,10
18,Fosforo (mg):,300
19,Magnesio (mg):,
20,Zinco (mg):,3.44
21,Rame (mg):,0.42
22,Selenio (µg):,
23,Tiamina (mg):,0.2
24,Riboflavina (mg):,0.28
25,Niacina (mg):,1.95
26,Vitamina A retinolo eq. (µg):,20
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
