,Composizione,mg/100g di parte edibile
0,Lisina:,725
1,Istidina:,235
2,Arginina:,603
3,Acido aspartico:,1060
4,Treonina:,500
5,Serina:,702
6,Acido glutamico:,1329
7,Prolina:,417
8,Glicina:,371
9,Alanina:,659
10,Cistina:,312
11,Valina:,732
12,Metionina:,422
13,Isoleucina:,572
14,Leucina:,862
15,Tirosina:,448
16,Fenilalanina:,626
17,Triptofano:,171
18,Indice Chimico:,100
19,Aminoacido limitante:,Lis.
